siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5
311,New Taipei(Shulin),2024-05-31 01:00,51,Moderate,8.8,7.9,12
204,Pingtung（Liuqiu）,2024-05-31 01:00,26,Good,24.2,0.9,5
203,Tainan（Madou）,2024-05-31 01:00,19,Good,18.2,4.6,4
202,Kaohsiung（Hunei）,2024-05-31 01:00,15,Good,15.6,8.3,4
201,Changhua（Yuanlin）,2024-05-31 01:00,44,Good,14.4,7.9,12
85,Dacheng,2024-05-31 01:00,20,Good,12.3,6,5
84,FugueiCape,2024-05-31 01:00,30,Good,28.8,5.4,5
83,Mailiao,2024-05-31 01:00,22,Good,17,6.1,5
80,Guanshan,2024-05-31 01:00,18,Good,6,1.7,2
78,Magong,2024-05-31 01:00,27,Good,29.7,2.6,1
77,Kinmen,2024-05-31 01:00,76,Moderate,2.8,25.9,30
75,Matsu,2024-05-31 01:00,39,Good,28.6,14.9,12
72,Puli,2024-05-31 01:00,35,Good,8.9,3.8,10
71,Fuxing,2024-05-31 01:00,20,Good,14.3,12.2,5
70,Yonghe,2024-05-31 01:00,59,Moderate,6.5,10.1,16
69,Zhushan,2024-05-31 01:00,30,Good,5.1,4.3,5
68,Zhongli,2024-05-31 01:00,46,Good,12.4,22.9,13
67,Sanchong,2024-05-31 01:00,50,Good,2.6,30.3,16
66,Dongshan,2024-05-31 01:00,24,Good,8.9,3.7,12
65,Yilan,2024-05-31 01:00,23,Good,8,2.7,9
64,Yangming,2024-05-31 01:00,25,Good,29.9,2.3,11
63,Hualien,2024-05-31 01:00,25,Good,15.4,1.7,7
62,Taitung,2024-05-31 01:00,19,Good,9.7,1.9,1
61,Hengchun,2024-05-31 01:00,27,Good,27.6,0.8,1
60,Chaozhou,2024-05-31 01:00,19,Good,22.3,0.7,0
59,Pingtung,2024-05-31 01:00,21,Good,24.8,2.5,4
58,Xiaogang,2024-05-31 01:00,40,Good,13.3,20.1,24
57,Qianzhen,2024-05-31 01:00,18,Good,14.9,11.4,3
56,Qianjin,2024-05-31 01:00,19,Good,17.8,9.5,2
54,Zuoying,2024-05-31 01:00,31,Good,17.7,7.7,8
53,Nanzi,2024-05-31 01:00,19,Good,17.4,11.2,4
52,Linyuan,2024-05-31 01:00,29,Good,26.9,0.8,0
51,Daliao,2024-05-31 01:00,24,Good,23.5,1.8,4
50,Fengshan,2024-05-31 01:00,21,Good,21.4,5.1,3
49,Renwu,2024-05-31 01:00,24,Good,22.9,7.1,5
48,Qiaotou,2024-05-31 01:00,19,Good,16.5,9.9,6
47,Meinong,2024-05-31 01:00,19,Good,19.2,2.3,4
46,Tainan,2024-05-31 01:00,28,Good,15.5,11.3,7
45,Annan,2024-05-31 01:00,26,Good,16.7,11.6,6
44,Shanhua,2024-05-31 01:00,27,Good,17.9,2.8,9
43,Xinying,2024-05-31 01:00,22,Good,20.6,3.1,2
42,Chiayi,2024-05-31 01:00,22,Good,13.8,5.7,4
41,Taixi,2024-05-31 01:00,21,Good,18.4,4.9,3
40,Puzi,2024-05-31 01:00,19,Good,16.4,5.9,
39,Xingang,2024-05-31 01:00,27,Good,19.5,3.5,7
38,Lunbei,2024-05-31 01:00,26,Good,13.8,2.7,4
37,Douliu,2024-05-31 01:00,25,Good,9.4,2.7,5
36,Nantou,2024-05-31 01:00,26,Good,5.3,5.5,5
35,Erlin,2024-05-31 01:00,47,Good,8.8,8.3,10
34,Xianxi,2024-05-31 01:00,35,Good,14.4,4.1,5
33,Changhua,2024-05-31 01:00,33,Good,15.9,8.7,6
32,Xitun,2024-05-31 01:00,34,Good,7.7,9.8,10
31,Zhongming,2024-05-31 01:00,27,Good,11.8,6.6,6
30,Dali,2024-05-31 01:00,39,Good,8.4,7,9
29,Shalu,2024-05-31 01:00,33,Good,16.6,8.5,8
28,Fengyuan,2024-05-31 01:00,24,Good,18.3,4.9,6
27,Sanyi,2024-05-31 01:00,29,Good,17.6,2.1,6
26,Miaoli,2024-05-31 01:00,44,Good,7.9,13,13
25,Toufen,2024-05-31 01:00,40,Good,11.7,8.6,12
24,Hsinchu,2024-05-31 01:00,33,Good,25.6,10.8,12
23,Zhudong,2024-05-31 01:00,53,Moderate,7.7,5.5,19
22,Hukou,2024-05-31 01:00,50,Good,21.5,7.8,13
21,Longtan,2024-05-31 01:00,57,Moderate,0.5,24.2,21
