siteid,sitename,datacreationdate,aqi,status,pm2.5
33,Changhua,2024-05-31 02:00,27,Good,3
32,Xitun,2024-05-31 02:00,31,Good,6
31,Zhongming,2024-05-31 02:00,26,Good,7
30,Dali,2024-05-31 02:00,36,Good,7
29,Shalu,2024-05-31 02:00,28,Good,5
28,Fengyuan,2024-05-31 02:00,22,Good,3
27,Sanyi,2024-05-31 02:00,26,Good,6
26,Miaoli,2024-05-31 02:00,46,Good,16
25,Toufen,2024-05-31 02:00,38,Good,11
24,Hsinchu,2024-05-31 02:00,34,Good,11
23,Zhudong,2024-05-31 02:00,54,Moderate,16
22,Hukou,2024-05-31 02:00,49,Good,14
21,Longtan,2024-05-31 02:00,59,Moderate,20
20,Pingzhen,2024-05-31 02:00,41,Good,16
19,Guanyin,2024-05-31 02:00,31,Good,11
18,Dayuan,2024-05-31 02:00,46,Good,21
17,Taoyuan,2024-05-31 02:00,45,Good,18
16,Datong,2024-05-31 02:00,40,Good,14
15,Songshan,2024-05-31 02:00,46,Good,15
14,Guting,2024-05-31 02:00,25,Good,5
13,Wanhua,2024-05-31 02:00,35,Good,9
12,Zhongshan,2024-05-31 02:00,34,Good,11
11,Shilin,2024-05-31 02:00,39,Good,15
10,Tamsui,2024-05-31 02:00,36,Good,11
9,Linkou,2024-05-31 02:00,31,Good,12
8,Cailiao,2024-05-31 02:00,36,Good,12
7,Xinzhuang,2024-05-31 02:00,50,Good,15
6,Banqiao,2024-05-31 02:00,42,Good,14
5,Tucheng,2024-05-31 02:00,57,Moderate,16
4,Xindian,2024-05-31 02:00,35,Good,9
3,Wanli,2024-05-31 02:00,26,Good,6
2,Xizhi,2024-05-31 02:00,43,Good,11
1,Keelung,2024-05-31 02:00,22,Good,4
